seed,dataset,method,training_fraction,micro_f1,macro_f1,example_f1,hamming_loss,average_precision,label_ranking_loss,subset_accuracy,hamming_accuracy,precision_at_1,precision_at_3,precision_at_5,elapsed_seconds
24530,synthetic_multilabel,cgmvae_no_mixture,0.5,0.07934655775962661,0.0606657388515949,0.09471428571428571,0.263,0.40763630843744325,0.2431998677248677,0.05,0.737,0.622,0.48333333333333334,0.41840000000000005,0.5824
24530,synthetic_multilabel,cgmvae_no_mixture,1.0,0.1703056768558952,0.1310185066679195,0.19605714285714285,0.25333333333333335,0.43516019998275923,0.21904267075517078,0.094,0.7466666666666666,0.668,0.5113333333333334,0.43439999999999995,1.1716
24530,synthetic_image_multilabel,one_vs_rest_logistic,0.1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6573333333333332,0.39440000000000003,0.0381
24530,synthetic_image_multilabel,one_vs_rest_logistic,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6573333333333332,0.39440000000000003,0.0384
24530,synthetic_image_multilabel,one_vs_rest_logistic,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6573333333333332,0.39440000000000003,0.0522
24530,synthetic_image_multilabel,mlp_multilabel,0.1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6573333333333332,0.39440000000000003,0.0854
24530,synthetic_image_multilabel,mlp_multilabel,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6573333333333332,0.39440000000000003,0.3029
24530,synthetic_image_multilabel,mlp_multilabel,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6573333333333332,0.39440000000000003,0.5548
24530,synthetic_image_multilabel,cnn_multilabel,0.1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6573333333333332,0.39440000000000003,0.1327
24530,synthetic_image_multilabel,cnn_multilabel,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6573333333333332,0.39440000000000003,0.5181
24530,synthetic_image_multilabel,cnn_multilabel,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6573333333333332,0.39440000000000003,0.9946
24530,synthetic_image_multilabel,vae_multilabel,0.1,0.9229979466119097,0.9243463720943801,0.924257142857143,0.05,0.9749218018913096,0.009316666666666666,0.724,0.95,0.974,0.6506666666666666,0.39440000000000003,0.1298
24530,synthetic_image_multilabel,vae_multilabel,0.5,0.9959390862944163,0.9961597527719376,0.996,0.0026666666666666666,0.9999819375919546,0.0,0.984,0.9973333333333333,1.0,0.6573333333333332,0.39440000000000003,0.4739
24530,synthetic_image_multilabel,vae_multilabel,1.0,0.9974632166412988,0.9974617895687651,0.9969333333333334,0.0016666666666666668,0.9999868560710943,0.0,0.99,0.9983333333333333,1.0,0.6573333333333332,0.39440000000000003,0.9708
24530,synthetic_image_multilabel,cgmvae_full,0.1,0.0,0.0,0.0,0.32866666666666666,0.37265133014424756,0.43610000000000004,0.0,0.6713333333333333,0.404,0.3653333333333333,0.3416,0.2095
24530,synthetic_image_multilabel,cgmvae_full,0.5,0.0,0.0,0.0,0.32866666666666666,0.6226529273234226,0.19936666666666666,0.0,0.6713333333333333,0.718,0.49733333333333324,0.3824000000000001,0.7998
24530,synthetic_image_multilabel,cgmvae_full,1.0,0.38338658146964855,0.35953413430410125,0.3479333333333333,0.25733333333333336,0.8147261746795659,0.07204444444444445,0.224,0.7426666666666666,0.94,0.5753333333333333,0.39,1.6081
24530,synthetic_image_multilabel,cgmvae_no_contrastive,0.1,0.0,0.0,0.0,0.32866666666666666,0.3326548602120144,0.5032055555555556,0.0,0.6713333333333333,0.316,0.326,0.3288000000000001,0.1986
24530,synthetic_image_multilabel,cgmvae_no_contrastive,0.5,0.36363636363636365,0.31573456731007665,0.2749333333333333,0.315,0.4736502144539772,0.3386111111111111,0.05,0.685,0.492,0.4273333333333333,0.36560000000000004,0.7578
24530,synthetic_image_multilabel,cgmvae_no_contrastive,1.0,0.43021766965428937,0.3902321870792867,0.3643333333333334,0.2966666666666667,0.5536889680376501,0.2537888888888889,0.074,0.7033333333333334,0.618,0.47866666666666663,0.36839999999999995,1.4665
24530,synthetic_image_multilabel,cgmvae_no_mixture,0.1,0.9090909090909091,0.9074979305020024,0.9099809523809524,0.059,0.97308621865461,0.006611111111111111,0.682,0.9410000000000001,0.996,0.648,0.39440000000000003,0.1586
24530,synthetic_image_multilabel,cgmvae_no_mixture,0.5,0.986986986986987,0.9869976600470118,0.9829333333333334,0.008666666666666666,0.9996167865360479,0.0,0.948,0.9913333333333333,1.0,0.6573333333333332,0.39440000000000003,0.5906
24530,synthetic_image_multilabel,cgmvae_no_mixture,1.0,0.9924509310518369,0.9921313407436844,0.9914,0.005,0.9999858066947648,0.0,0.972,0.995,1.0,0.6573333333333332,0.39440000000000003,1.1444
24531,synthetic_multilabel,one_vs_rest_logistic,0.1,0.4198047419804742,0.3552745156098827,0.39916908646908644,0.2773333333333333,0.38069827749714075,0.28058556998557,0.024,0.7226666666666667,0.594,0.43466666666666665,0.38600000000000007,0.0671
24531,synthetic_multilabel,one_vs_rest_logistic,0.5,0.4865047233468286,0.4498909429177281,0.4919740925740925,0.25366666666666665,0.47930725809035607,0.21521510341510341,0.052,0.7463333333333333,0.702,0.5073333333333333,0.4224000000000001,0.0666
24531,synthetic_multilabel,one_vs_rest_logistic,1.0,0.5158273381294964,0.4652709660676104,0.5281559773559774,0.22433333333333333,0.5373788274132419,0.1769717291967292,0.076,0.7756666666666667,0.756,0.558,0.44040000000000007,0.0859
24531,synthetic_multilabel,mlp_multilabel,0.1,0.12180974477958237,0.07467561174457726,0.12788253968253968,0.25233333333333335,0.38405100462709146,0.268082221019721,0.048,0.7476666666666667,0.612,0.46,0.3996,0.0908
24531,synthetic_multilabel,mlp_multilabel,0.5,0.5103942652329749,0.43324886844448135,0.5217559218559218,0.22766666666666666,0.5087048717911848,0.20186519961519964,0.074,0.7723333333333333,0.742,0.54,0.4288,0.354
24531,synthetic_multilabel,mlp_multilabel,1.0,0.5450704225352113,0.4941714341060615,0.5633728715728716,0.21533333333333332,0.556900190973553,0.17782035834535834,0.096,0.7846666666666666,0.754,0.5613333333333332,0.43920000000000003,0.5798
24531,synthetic_multilabel,vae_multilabel,0.1,0.0,0.0,0.0,0.26166666666666666,0.2680427146834647,0.34195003006253005,0.0,0.7383333333333333,0.384,0.41,0.3668,0.1392
24531,synthetic_multilabel,vae_multilabel,0.5,0.1909282700421941,0.08649782000632544,0.1927888888888889,0.25566666666666665,0.3403398606676739,0.31915655964405965,0.036,0.7443333333333333,0.52,0.44066666666666665,0.3704,0.4969
24531,synthetic_multilabel,vae_multilabel,1.0,0.3653276955602537,0.2293651041312846,0.36617792207792205,0.25016666666666665,0.38237387371433895,0.3084971681096681,0.072,0.7498333333333334,0.604,0.446,0.36400000000000005,0.9606
24531,synthetic_multilabel,cgmvae_full,0.1,0.0,0.0,0.0,0.26166666666666666,0.2760193855239984,0.3549582431457431,0.0,0.7383333333333333,0.424,0.4126666666666666,0.3704,0.2319
24531,synthetic_multilabel,cgmvae_full,0.5,0.0,0.0,0.0,0.26166666666666666,0.2701260036353339,0.3451750841750842,0.0,0.7383333333333333,0.384,0.4093333333333333,0.3708000000000001,0.9108
24531,synthetic_multilabel,cgmvae_full,1.0,0.0,0.0,0.0,0.26166666666666666,0.2631896386140334,0.34063825757575755,0.0,0.7383333333333333,0.4,0.39399999999999996,0.37120000000000003,1.7927
24531,synthetic_multilabel,cgmvae_no_contrastive,0.1,0.19140625,0.048562166802204744,0.17789523809523808,0.276,0.2632489203159924,0.35320232683982683,0.01,0.724,0.406,0.36199999999999993,0.36560000000000004,0.2356
24531,synthetic_multilabel,cgmvae_no_contrastive,0.5,0.10236220472440945,0.035770440251572326,0.07898095238095239,0.266,0.26448760624940687,0.3601471079846079,0.004,0.734,0.432,0.4126666666666666,0.3536,0.8929
24531,synthetic_multilabel,cgmvae_no_contrastive,1.0,0.0,0.0,0.0,0.26166666666666666,0.27115114241060617,0.34671831409331405,0.0,0.7383333333333333,0.406,0.4126666666666666,0.36760000000000004,1.7148
24531,synthetic_multilabel,cgmvae_no_mixture,0.1,0.0,0.0,0.0,0.26166666666666666,0.28547464448758614,0.34615823713323707,0.0,0.7383333333333333,0.444,0.4033333333333333,0.3708000000000001,0.1598
24531,synthetic_multilabel,cgmvae_no_mixture,0.5,0.06723716381418093,0.04722649889160497,0.07438095238095238,0.25433333333333336,0.41057174963147425,0.26473930375180377,0.04,0.7456666666666667,0.642,0.46399999999999997,0.38880000000000003,0.5915
24531,synthetic_multilabel,cgmvae_no_mixture,1.0,0.175,0.13733052782845323,0.1957888888888889,0.242,0.4505518880862227,0.2411447570947571,0.1,0.758,0.65,0.48866666666666664,0.404,1.1607
24531,synthetic_image_multilabel,one_vs_rest_logistic,0.1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666,0.3996,0.035
24531,synthetic_image_multilabel,one_vs_rest_logistic,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666,0.3996,0.0366
24531,synthetic_image_multilabel,one_vs_rest_logistic,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666,0.3996,0.0482
24531,synthetic_image_multilabel,mlp_multilabel,0.1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666,0.3996,0.0837
24531,synthetic_image_multilabel,mlp_multilabel,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666,0.3996,0.2866
24531,synthetic_image_multilabel,mlp_multilabel,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666,0.3996,0.5928
24531,synthetic_image_multilabel,cnn_multilabel,0.1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666,0.3996,0.1258
24531,synthetic_image_multilabel,cnn_multilabel,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666,0.3996,0.5007
24531,synthetic_image_multilabel,cnn_multilabel,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666,0.3996,1.0104
24531,synthetic_image_multilabel,vae_multilabel,0.1,0.996993987975952,0.9970055972661264,0.9970666666666668,0.002,0.9999386114903066,0.0,0.988,0.998,1.0,0.666,0.3996,0.135
24531,synthetic_image_multilabel,vae_multilabel,0.5,0.996,0.995958830713347,0.9954666666666666,0.0026666666666666666,0.9999566370839297,0.0,0.984,0.9973333333333333,1.0,0.666,0.3996,0.5019
24531,synthetic_image_multilabel,vae_multilabel,1.0,0.998997995991984,0.9990196078431373,0.9992000000000001,0.0006666666666666666,1.0,0.0,0.996,0.9993333333333333,1.0,0.666,0.3996,0.9507
24531,synthetic_image_multilabel,cgmvae_full,0.1,0.0,0.0,0.0,0.333,0.37624272398101827,0.4917777777777777,0.0,0.667,0.346,0.34333333333333327,0.33640000000000003,0.1913
24531,synthetic_image_multilabel,cgmvae_full,0.5,0.13160333642261354,0.12958986865150385,0.10853333333333333,0.31233333333333335,0.696669609896996,0.15625,0.06,0.6876666666666666,0.82,0.53,0.38520000000000004,0.7894
24531,synthetic_image_multilabel,cgmvae_full,1.0,0.3062605752961083,0.30086937465785896,0.2833333333333333,0.2733333333333333,0.8653676086162584,0.05367222222222222,0.176,0.7266666666666667,0.952,0.604,0.396,1.5577
24531,synthetic_image_multilabel,cgmvae_no_contrastive,0.1,0.0,0.0,0.0,0.333,0.3519174992837262,0.4913277777777778,0.0,0.667,0.342,0.338,0.33760000000000007,0.1997
24531,synthetic_image_multilabel,cgmvae_no_contrastive,0.5,0.06463878326996197,0.05059523809523809,0.045,0.328,0.39330777961923863,0.4420055555555556,0.012,0.6719999999999999,0.432,0.3673333333333333,0.3448,0.7733
24531,synthetic_image_multilabel,cgmvae_no_contrastive,1.0,0.19706136560069146,0.12612708555200566,0.15,0.30966666666666665,0.4474501449445125,0.3611444444444445,0.048,0.6903333333333334,0.504,0.41133333333333333,0.3648,1.4593
