dataset,method,training_fraction,runs,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,example_f1_mean,example_f1_std,hamming_loss_mean,hamming_loss_std,average_precision_mean,average_precision_std,label_ranking_loss_mean,label_ranking_loss_std,subset_accuracy_mean,subset_accuracy_std,hamming_accuracy_mean,hamming_accuracy_std,precision_at_1_mean,precision_at_1_std,precision_at_3_mean,precision_at_3_std,precision_at_5_mean,precision_at_5_std,elapsed_seconds_mean,elapsed_seconds_std
synthetic_multilabel,cgmvae_full,0.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.26472222222222225,0.005168159879803446,0.27313629649917615,0.0028450107674000153,0.32591451018117684,0.016023336670927365,0.0,0.0,0.7352777777777778,0.00516815987980345,0.41933333333333334,0.017987650084309383,0.4053333333333333,0.008018497134519442,0.37706666666666666,0.0088684208791018,9.283166666666666,0.2914522297430959
synthetic_multilabel,cgmvae_full,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.26472222222222225,0.005168159879803446,0.26932900136642407,0.007123573901398845,0.3219912397787397,0.01406977963304849,0.0,0.0,0.7352777777777778,0.00516815987980345,0.428,0.007118052168020881,0.40711111111111115,0.004157397096415488,0.3776,0.009335237900914324,18.392766666666667,0.7081459563928587
synthetic_multilabel,cgmvae_no_contrastive,0.1,3,0.13017543244409704,0.09224407275608272,0.03331489930305794,0.023558524625590258,0.1239851851851852,0.08825790929243735,0.273,0.009446731749168102,0.2741143189460868,0.007398612225990951,0.3517183261183261,0.009680515592554914,0.012000000000000002,0.011775681155103796,0.727,0.009446731749168125,0.4086666666666667,0.018785337071473823,0.35933333333333334,0.00801849713451945,0.35200000000000004,0.014938094479104972,2.0124666666666666,0.06300848267407257
synthetic_multilabel,cgmvae_no_contrastive,0.5,3,0.01066010660106601,0.015075667331570506,0.005310457516339869,0.007510121042013985,0.007362433862433863,0.0104120538203289,0.2649444444444444,0.005044860482109562,0.27588102612186555,0.005854407262387199,0.33210629509379513,0.02045688788562209,0.0006666666666666666,0.0009428090415820634,0.7350555555555557,0.005044860482109579,0.43333333333333335,0.0018856180831641283,0.40888888888888886,0.0026851213274654557,0.36999999999999994,0.013076187007941817,7.880933333333334,0.23573120756960075
synthetic_multilabel,cgmvae_no_contrastive,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.26472222222222225,0.005168159879803446,0.27290147872140946,0.009192954891654986,0.32783170394420386,0.014140513149689069,0.0,0.0,0.7352777777777778,0.00516815987980345,0.426,0.014514360704718147,0.4075555555555555,0.0040855058468556105,0.37706666666666666,0.010015099711047436,15.563366666666667,0.6035758462879554
synthetic_multilabel,cgmvae_no_mixture,0.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.26472222222222225,0.005168159879803446,0.28131810906846505,0.006973800760960364,0.32907980800064135,0.015115059840205081,0.0,0.0,0.7352777777777778,0.00516815987980345,0.43133333333333335,0.020417857108151402,0.39399999999999996,0.004714045207910308,0.3742666666666667,0.0045294100670567935,0.7669333333333332,0.019301352859896197
synthetic_multilabel,cgmvae_no_mixture,0.5,3,0.10792286831158056,0.04275245763023641,0.08166844026646468,0.037030194868185956,0.12174497354497354,0.04629697746437666,0.2525,0.008776019514479129,0.411217042494294,0.02560015504620235,0.26151548621131954,0.017947978285437875,0.06333333333333334,0.02028683207293725,0.7475,0.008776019514479124,0.6353333333333334,0.046226495528959285,0.4671111111111111,0.01261783961473635,0.3946666666666667,0.013089775484026539,2.766166666666667,0.028316818716484
synthetic_multilabel,cgmvae_no_mixture,1.0,3,0.1856817844513594,0.013990620855543387,0.1449851070004068,0.009925744075942355,0.20839576719576716,0.020324106441639737,0.24383333333333335,0.004218565668126584,0.4452069895838768,0.005731672864109843,0.23534960517877182,0.006687247971378606,0.09200000000000001,0.008164965809277256,0.7561666666666667,0.004218565668126573,0.6846666666666668,0.03395421754199156,0.49444444444444446,0.007818938704781845,0.41,0.009863062404750348,5.3275,0.10951273898501497
synthetic_image_multilabel,one_vs_rest_logistic,0.1,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,0.0356,0.0005099019513592781
synthetic_image_multilabel,one_vs_rest_logistic,0.5,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,0.0374,0.0014719601443879725
synthetic_image_multilabel,one_vs_rest_logistic,1.0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,0.056499999999999995,0.010686751923136732
synthetic_image_multilabel,mlp_multilabel,0.1,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,0.2529666666666667,0.005546370184383852
synthetic_image_multilabel,mlp_multilabel,0.5,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,0.9622666666666667,0.01152687680548762
synthetic_image_multilabel,mlp_multilabel,1.0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,1.8689666666666669,0.014096886969193598
synthetic_image_multilabel,cnn_multilabel,0.1,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,0.2730666666666667,0.0007363574011458267
synthetic_image_multilabel,cnn_multilabel,0.5,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,0.9978333333333333,0.006243040569750873
synthetic_image_multilabel,cnn_multilabel,1.0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.409875621278546e-17,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,1.9608999999999999,0.010388775994633203
synthetic_image_multilabel,vae_multilabel,0.1,3,0.9553430608851493,0.031169907127854547,0.9540804461615114,0.03225342105995212,0.9575111111111112,0.029676494418776254,0.02822222222222223,0.019634311111915954,0.9907257801213435,0.006898210472088356,0.003962962962962962,0.003067345380252414,0.8706666666666667,0.0923952860750422,0.9717777777777777,0.01963431111191595,0.9986666666666667,0.0018856180831641283,0.6535555555555556,0.00981809868194424,0.3950666666666667,0.0034615346628658968,0.2871333333333333,0.005865909041989048
