experiment,dataset,method,target_dim,runs,elapsed_seconds_mean,elapsed_seconds_std,distance_rank_correlation_mean,distance_rank_correlation_std,knn_overlap_mean,knn_overlap_std,cosine_similarity_correlation_mean,cosine_similarity_correlation_std,estimated_flops_mean,estimated_flops_std,reconstruction_mse_mean,reconstruction_mse_std,relative_squared_error_mean,relative_squared_error_std,downstream_accuracy_mean,downstream_accuracy_std
image_noisy,mnist_noisy_reproduction,rp,10,5,0.002514,4.30488095073487e-05,0.38701953127284405,0.026970055705647516,0.12137142857142855,0.012371329593797395,0.3816737591510771,0.02069420729024124,23520000.0,0.0,9.361720275878906,0.26852857370195327,77.18021697998047,2.194444956544651,0.39,0.027121127475743998
image_noisy,mnist_noisy_reproduction,rp,25,5,0.0021426,7.990394233077617e-05,0.5716795221331123,0.024541137781067514,0.25762857142857143,0.005301212799242945,0.5384902521560424,0.019314648495614706,58800000.0,0.0,3.6968093872070313,0.5978597004779751,30.481898880004884,4.962081314449204,0.6263333333333333,0.006271629240742244
image_noisy,mnist_noisy_reproduction,rp,50,5,0.0028037999999999995,4.0434638615919375e-05,0.6899669224625853,0.02257119300410227,0.3911428571428572,0.011207868955810133,0.6504046861948704,0.018317474375449647,117600000.0,0.0,1.8435050010681153,0.047330789477744814,15.198183250427245,0.3818053595413312,0.7283333333333333,0.024244128727957597
image_noisy,mnist_noisy_reproduction,rp,100,5,0.004084,0.00012051058044835757,0.8128164719990171,0.013037820539139213,0.5260857142857143,0.0031475289951817705,0.7934203788659585,0.009544607200865684,235200000.0,0.0,0.9985284805297852,0.07839573486249893,8.232626056671142,0.6523558141461603,0.7706666666666666,0.007498147919467993
image_noisy,mnist_noisy_reproduction,rp,200,5,0.0065731999999999995,0.0001391781592061053,0.8856158975639886,0.008468967730262462,0.6427428571428571,0.006119490441638587,0.8741227853598914,0.008150717221619766,470400000.0,0.0,0.4858203768730164,0.024811033829888036,4.005385160446167,0.20748557879867172,0.8026666666666668,0.01128420725320718
image_noisy,mnist_noisy_reproduction,rp,400,5,0.011627,0.00028072263891606585,0.9399051947186159,0.004373082407823918,0.7423428571428572,0.007643911809741273,0.9334327935971732,0.0030798037401809394,940800000.0,0.0,0.22832327485084533,0.00754625456586955,1.8824091911315919,0.06353010900825566,0.8383333333333333,0.02233582075700125
image_noisy,mnist_noisy_reproduction,rp,700,5,0.0188646,0.000623090555216495,0.9656479556543595,0.0020962711688685435,0.7974571428571429,0.004872580508963107,0.9594788142364086,0.0026863100861969037,1646400000.0,0.0,0.13441174030303954,0.004747206750958509,1.108116579055786,0.0387807253356312,0.8473333333333333,0.009165151389911681
image_noisy,mnist_noisy_reproduction,srp,10,5,0.003556,0.00018670939987049389,0.4077518125364227,0.0051319404085268605,0.12365714285714287,0.020535404966614546,0.3307275526710722,0.034638791220563576,23520000.0,0.0,12.126100540161133,3.4606181863455805,99.97769622802734,28.556301198764242,0.4213333333333333,0.0311519573132162
image_noisy,mnist_noisy_reproduction,srp,25,5,0.0037913999999999995,0.00019436625221473005,0.5699833673056128,0.015705397519276798,0.24702857142857143,0.01157738823601192,0.52282779578623,0.022640910202846618,58800000.0,0.0,4.625319910049439,0.6389306965932675,38.130083847045896,5.247329720299621,0.609,0.022866763848189996
image_noisy,mnist_noisy_reproduction,srp,50,5,0.0045494,9.355768274171802e-05,0.7045637991500534,0.022210497564845298,0.3844285714285714,0.014972900690983042,0.6584228882083418,0.0191643491845898,117600000.0,0.0,2.134267044067383,0.3062539350537056,17.595118904113768,2.520823839194188,0.726,0.017782638224465533
