experiment,dataset,domain,condition,method,target_dim,seed,elapsed_seconds,distance_rank_correlation,knn_overlap,cosine_similarity_correlation,estimated_flops,reconstruction_mse,relative_squared_error,downstream_accuracy
image_clean,mnist_clean_reproduction,image,clean,srp,10,24532,0.003556,0.4551221467726005,0.24857142857142858,0.493568942168171,23520000.0,8.920780181884766,78.8451156616211,0.5783333333333334
image_clean,mnist_clean_reproduction,image,clean,srp,25,24532,0.003795,0.6334491823405738,0.403,0.6659237468345762,58800000.0,3.3133528232574463,29.284622192382812,0.6883333333333334
image_clean,mnist_clean_reproduction,image,clean,srp,50,24532,0.004483,0.7800820699028137,0.5455714285714285,0.762110773202984,117600000.0,1.8593559265136719,16.433666229248047,0.815
image_clean,mnist_clean_reproduction,image,clean,srp,100,24532,0.00633,0.8551359911922132,0.6679999999999999,0.8583913962793661,235200000.0,0.862084686756134,7.619419574737549,0.835
image_clean,mnist_clean_reproduction,image,clean,srp,200,24532,0.009086,0.9221385936779343,0.7605714285714286,0.9200490162092562,470400000.0,0.4267409145832062,3.7716920375823975,0.8366666666666667
image_clean,mnist_clean_reproduction,image,clean,srp,400,24532,0.015035,0.9586745579171598,0.8271428571428572,0.9581627979035259,940800000.0,0.22480763494968414,1.9869320392608643,0.8866666666666667
image_clean,mnist_clean_reproduction,image,clean,srp,700,24532,0.022654,0.977952522251451,0.8728571428571429,0.9738946722951136,1646400000.0,0.13202017545700073,1.1668424606323242,0.8733333333333333
image_clean,mnist_clean_reproduction,image,clean,pca,10,24532,0.012099,0.8634377381864227,0.5755714285714285,0.6803487541402728,23520000.0,0.03456491231918335,0.30549731850624084,0.8283333333333334
image_clean,mnist_clean_reproduction,image,clean,pca,25,24532,0.017523,0.9450962093051664,0.7511428571428571,0.751515940143685,58800000.0,0.020622478798031807,0.18226899206638336,0.865
image_clean,mnist_clean_reproduction,image,clean,pca,50,24532,0.02592,0.9820171307510704,0.8574285714285715,0.7440986936949054,117600000.0,0.011605356819927692,0.10257238149642944,0.8633333333333333
image_clean,mnist_clean_reproduction,image,clean,pca,100,24532,0.033216,0.9963730496483156,0.9317142857142858,0.7730298319730676,235200000.0,0.005541482474654913,0.04897764325141907,0.8866666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,200,24532,0.069374,0.9993618860851177,0.9700000000000002,0.7567180674182099,470400000.0,0.002068888396024704,0.018285591155290604,0.875
image_clean,mnist_clean_reproduction,image,clean,pca,400,24532,0.12684,0.9999534113991239,0.9939999999999999,0.7619833121360535,940800000.0,0.00022817235731054097,0.002016670536249876,0.8966666666666666
image_clean,mnist_clean_reproduction,image,clean,pca,700,24532,0.090503,0.9999999919374993,0.9998571428571428,0.7673129464207231,1646400000.0,4.30016612595896e-12,3.800643827434058e-11,0.8716666666666667
image_clean,mnist_clean_reproduction,image,clean,dct,10,24532,0.019618,0.6451074444345124,0.2874285714285714,0.559984799061293,23520000.0,0.06971190869808197,0.61613929271698,0.7366666666666667
image_clean,mnist_clean_reproduction,image,clean,dct,25,24532,0.018825,0.7993027438939214,0.5024285714285714,0.7505029958430222,23520000.0,0.05130106583237648,0.45341756939888,0.8533333333333334
image_clean,mnist_clean_reproduction,image,clean,dct,50,24532,0.020134,0.9009589871849365,0.6528571428571428,0.8900403466255442,23520000.0,0.03507067263126373,0.30996739864349365,0.8883333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,100,24532,0.019275,0.9680477770337059,0.7970000000000002,0.9639136726241047,23520000.0,0.018120871856808662,0.16015887260437012,0.8783333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,200,24532,0.020262,0.9938461260313077,0.899857142857143,0.9945048045462017,23520000.0,0.007439494598656893,0.06575296819210052,0.8766666666666667
image_clean,mnist_clean_reproduction,image,clean,dct,400,24532,0.021191,0.9994207795945985,0.9622857142857145,0.9996279665727371,23520000.0,0.0024419857654720545,0.021583162248134613,0.8683333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,700,24532,0.022309,0.9999810231238139,0.9940000000000001,0.999992108057706,23520000.0,0.00026597946998663247,0.002350823488086462,0.88
image_clean,mnist_clean_reproduction,image,clean,rp,10,24533,0.002596,0.535212823582928,0.23,0.367009488557853,23520000.0,10.644403457641602,93.80986022949219,0.505
image_clean,mnist_clean_reproduction,image,clean,rp,25,24533,0.002226,0.7395602534997976,0.44985714285714284,0.7102000678750362,58800000.0,3.2776012420654297,28.885726928710938,0.735
image_clean,mnist_clean_reproduction,image,clean,rp,50,24533,0.002882,0.7808658035896004,0.5698571428571428,0.770467984151172,117600000.0,1.7174768447875977,15.136241912841797,0.83
image_clean,mnist_clean_reproduction,image,clean,rp,100,24533,0.003999,0.8818414999728504,0.6908571428571428,0.8605498222813444,235200000.0,0.9593650102615356,8.454950332641602,0.8566666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,200,24533,0.006829,0.929631170644409,0.7714285714285715,0.9237122653517297,470400000.0,0.47571423649787903,4.192502498626709,0.8583333333333333
image_clean,mnist_clean_reproduction,image,clean,rp,400,24533,0.012048,0.9620221999596948,0.8307142857142857,0.9560277473664492,940800000.0,0.22219887375831604,1.958254098892212,0.8816666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,700,24533,0.019661,0.9774626386539147,0.8791428571428572,0.975330635007721,1646400000.0,0.12501195073127747,1.1017390489578247,0.8716666666666667
image_clean,mnist_clean_reproduction,image,clean,srp,10,24533,0.003708,0.5444383482063614,0.2415714285714286,0.5032994282994516,23520000.0,12.788708686828613,112.70777130126953,0.51
image_clean,mnist_clean_reproduction,image,clean,srp,25,24533,0.004061,0.6429619970806523,0.3838571428571429,0.6105900491991019,58800000.0,3.694537401199341,32.56021499633789,0.7016666666666667
image_clean,mnist_clean_reproduction,image,clean,srp,50,24533,0.005006,0.7973264987707658,0.5682857142857142,0.7478619026090865,117600000.0,1.8146958351135254,15.993040084838867,0.81
image_clean,mnist_clean_reproduction,image,clean,srp,100,24533,0.006645,0.8634261478534995,0.6854285714285714,0.8507848287973435,235200000.0,1.0081543922424316,8.884934425354004,0.8416666666666667
image_clean,mnist_clean_reproduction,image,clean,srp,200,24533,0.009217,0.9364164035005123,0.7515714285714286,0.9241592690649572,470400000.0,0.4287014901638031,3.7781758308410645,0.85
image_clean,mnist_clean_reproduction,image,clean,srp,400,24533,0.015326,0.9624754267606422,0.8234285714285714,0.958123777014839,940800000.0,0.23071430623531342,2.0333011150360107,0.875
